"u_account","u_account.name","u_account.u_number","acv","acv_usd","annual_list_value","annual_list_value_usd","contract","notes","product_price","quantity","sales_price","product_price.product.u_family_3","product_price.product.u_family_2","number"
"Zoom Video Communications Inc","Zoom Video Communications Inc","ACCT0090319","9,000","9,000","9,000","9,000","CON0957215","","App Engine - Fulfiller   (USD)","5","150","App Engine Fulfiller","Now Platform App Engine","CLI0193054"
"Zimmer Biomet","Zimmer Biomet","ACCT0004018","138,120","138,120","0","0","31014RS","","Now Platform® App Engine for IT Service Management - Module (USD)","1","11,510","App Engine ITSM","Now Platform App Engine","CLI0176401"
"Zillow Group, Inc.","Zillow Group, Inc.","ACCT0004990","31,103.88","31,103.88","142,200","142,200","14813BS","","App Engine - Fulfiller   (USD)","79","32.81","App Engine Fulfiller","Now Platform App Engine","CLI0207259"
"Yum! Brands Inc","Yum! Brands Inc","ACCT0000479","14,196","14,196","90,000","90,000","CON0078694","","App Engine - Fulfiller   (USD)","50","23.66","App Engine Fulfiller","Now Platform App Engine","CLI0174564"
"YTL Cement Shared Services Sdn Bhd","YTL Cement Shared Services Sdn Bhd","ACCT0146267","88,800","88,800","240,000","240,000","CON1206644","","App Engine - Unrestricted User (USD)","1,000","7.4","App Engine Unrestricted User","Now Platform App Engine","CLI0211565"
"YRC Worldwide Inc","YRC Worldwide Inc","ACCT0005087","82,399.68","82,399.68","0","0","17714ES","","Now Platform® App Engine for IT Service Management - Module (USD)","1","6,866.64","App Engine ITSM","Now Platform App Engine","CLI0165713"
"Yara Intl ASA","Yara Intl ASA","ACCT0019229","179,328.48","179,328.48","0","0","CON1080152","","Now Platform® App Engine for IT Service Management - Module (USD)","1","14,944.04","App Engine ITSM","Now Platform App Engine","CLI0145669"
"Yamana Gold Inc","Yamana Gold Inc","ACCT0007222","37,668","29,524.48","0","0","06413BH","","Now Platform® App Engine for IT Service Management - Module (CAD)","1","3,139","App Engine ITSM","Now Platform App Engine","CLI0171924"
"Yale University","Yale University","ACCT0001841","0","0","0","0","CON0577211","","I2 Now Platform® App Engine - Included Student Fulfiller (USD)","18","0","App Engine Professional","App Engine","CLI0156570"
"Yale University","Yale University","ACCT0001841","15,724.8","15,724.8","15,724.8","15,724.8","CON0577211","","I2 Now Platform® App Engine - Fulfiller User (USD)","35","37.44","App Engine Professional","App Engine","CLI0156580"
"XP Investimentos SA","XP Investimentos SA","ACCT0094677","13,132.8","2,643.02","33,132.96","6,384","CON0685010-ADDL","","Now Platform App Engine Starter - Platform User (BRL)","76","14.4","App Engine Starter","App Engine - Legacy","CLI0141896"
"Wynn Las Vegas LLC","Wynn Las Vegas LLC","ACCT0003647","1,152","1,152","1,152","1,152","CON0015320 ","","Now Platform App Engine Starter + - Platform User (USD)","6","16","App Engine Starter","App Engine - Legacy","CLI0145031"
"Wright State University","Wright State University","ACCT0020649","6,415.2","6,415.2","0","0","CON0029396","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","534.6","App Engine Professional","App Engine","CLI0150346"
"Wright State University","Wright State University","ACCT0020649","2,217.6","2,217.6","0","0","CON0029396","","I2 Now Platform® App Engine for Customer Service Management - Module (USD)","1","184.8","App Engine Professional","App Engine","CLI0150347"
"World Wide Technology LLC","World Wide Technology LLC","ACCT0000841","92,400","92,400","0","0","CON0836081-ADDL","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","7,700","App Engine CSM","Now Platform App Engine","CLI0175858"
"World Bank Group","World Bank Group","ACCT0005469","24,960","24,960","36,000","36,000","CON0564547","","App Engine - Fulfiller   (USD)","20","104","App Engine Fulfiller","Now Platform App Engine","CLI0211686"
"Wolseley (Ferguson)","Wolseley (Ferguson)","ACCT0006441","28,800","28,800","36,000","36,000","06815JS","","App Engine - Fulfiller   (USD)","20","120","App Engine Fulfiller","Now Platform App Engine","CLI0192293"
"Wipro Ltd","Wipro Ltd","ACCT0004933","7,500","7,500","22,500","22,500","BV-25512SR","","Now Platform App Engine Standard - Platform User (USD)","50","12.5","App Engine Standard","App Engine - Legacy","CLI0104963"
"Wintrust Financial Corp","Wintrust Financial Corp","ACCT0002026","9,450","9,450","13,500","13,500","CON1066749","","Now Platform App Engine Standard - Platform User (USD)","45","17.5","App Engine Standard","App Engine - Legacy","CLI0102180"
"Wing Aviation LLC","Wing Aviation LLC","ACCT0131896","25,740","25,740","0","0","CON1027733","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","2,145","App Engine CSM","Now Platform App Engine","CLI0166093"
"Wind Tre SpA","Wind Tre SpA","ACCT0091225","28,931.04","34,381.65","28,836","32,400","CON0604868","","App Engine - Fulfiller   (EUR)","18","133.94","App Engine Fulfiller","Now Platform App Engine","CLI0164206"
"William Blair & Co LLC","William Blair & Co LLC","ACCT0005982","18,000","18,000","25,200","25,200","CON0685761","","Now Platform App Engine Starter - Platform User (USD)","300","5","App Engine Starter","App Engine - Legacy","CLI0207129"
"White & Case Europe LLP","White & Case Europe LLP","ACCT0019956","33,600","33,600","29,400","29,400","CON0552529","","Now Platform App Engine Starter - Platform User (USD)","350","8","App Engine Starter","App Engine - Legacy","CLI0205736"
"Weston Foods Inc","Weston Foods Inc","ACCT0005937","29,545.2","24,025.86","341,910","261,000","31514RS","","App Engine - Fulfiller   (CAD)","145","16.98","App Engine Fulfiller","Now Platform App Engine","CLI0209139"
"WestJet an Alberta Partnership","WestJet an Alberta Partnership","ACCT0001708","540,513.6","540,513.6","2,541,600","2,541,600","06711MB","","Now Platform App Engine Professional - Unrestricted User (USD)","14,120","3.19","App Engine Professional","App Engine - Legacy","CLI0121143"
"Western NY Regional Information Center (WNYRIC)","Western NY Regional Information Center (WNYRIC)","ACCT0018890","9,313.92","9,313.92","0","0","CON1196078","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","776.16","App Engine Professional","App Engine","CLI0206202"
"Western Governors University","Western Governors University","ACCT0008394","0","0","720,000","720,000","08011TR","","App Engine - Fulfiller   (USD)","400","0","App Engine Fulfiller","Now Platform App Engine","CLI0144952"
"West Corp","West Corp","ACCT0001234","119,700","119,700","239,400","239,400","CON0006327","","App Engine - Fulfiller   (USD)","133","75","App Engine Fulfiller","Now Platform App Engine","CLI0167112"
"Weill Cornell Medical College","Weill Cornell Medical College","ACCT0008624","0","0","0","0","03512JG","","Now Platform® App Engine for IT Service Management - Module (USD)","1","0","App Engine ITSM","Now Platform App Engine","CLI0171252"
"Wavex Technology Ltd","Wavex Technology Ltd","ACCT0031146","14,265","18,680.24","0","0","BV-25114JK","","Now Platform® App Engine for IT Service Management - Module (GBP)","1","1,188.75","App Engine ITSM","Now Platform App Engine","CLI0160491"
"Wates Construction Ltd","Wates Construction Ltd","ACCT0021787","8,658","12,249.91","0","0","CON0598862","","Now Platform® App Engine for IT Service Management - Module (GBP)","1","721.5","App Engine ITSM","Now Platform App Engine","CLI0149384"
"Watermark Estate Management Services LLC","Watermark Estate Management Services LLC","ACCT0031810","43,200","43,200","144,000","144,000","0031810","","App Engine - Unrestricted User (USD)","600","6","App Engine Unrestricted User","Now Platform App Engine","CLI0199693"
"Waste Management Limited","Waste Management Limited","ACCT0128925","22,500","16,233.05","68,850","45,000","CON1040213-DIRECT","","App Engine - Fulfiller   (NZD)","25","75","App Engine Fulfiller","Now Platform App Engine","CLI0204666"
"Waste Management Limited","Waste Management Limited","ACCT0128925","15,555.6","9,639.99","27,540","18,000","CON1040213","","App Engine - Fulfiller   (NZD)","10","129.63","App Engine Fulfiller","Now Platform App Engine","CLI0137580"
"Washington Metro Area Transit Authority","Washington Metro Area Transit Authority","ACCT0004662","52,800","52,800","0","0","CON0587844","","Now Platform® App Engine for IT Service Management - Module (USD)","1","4,400","App Engine ITSM","Now Platform App Engine","CLI0148607"
"Walgreens Boots Alliance","Walgreens Boots Alliance","ACCT0001422","576","576","1,800","1,800","CON1377288","","App Engine - Fulfiller   (USD)","1","48","App Engine Fulfiller","Now Platform App Engine","CLI0198825"
"Wal-Mart Stores Inc","Wal-Mart Stores Inc","ACCT0001248","5,040,000","5,040,000","720,000,000","720,000,000","19114DR-STORES-HR","","App Engine - Unrestricted User (USD)","3,000,000","0.14","App Engine Unrestricted User","Now Platform App Engine","CLI0178246"
"Wake Forest University Baptist Medical Center WFUBMC","Wake Forest University Baptist Medical Center WFUBMC","ACCT0003128","0","0","0","0","CON0593730","","I2 Now Platform® App Engine - Included Student Fulfiller (USD)","12","0","App Engine Professional","App Engine","CLI0168365"
"Wake Forest University Baptist Medical Center WFUBMC","Wake Forest University Baptist Medical Center WFUBMC","ACCT0003128","11,404.8","11,404.8","11,404.8","11,404.8","CON0593730","","I2 Now Platform® App Engine - Fulfiller User (USD)","24","39.6","App Engine Professional","App Engine","CLI0168369"
"Waikato District Health Board","Waikato District Health Board","ACCT0084654","14,842.8","10,360.15","38,556","25,200","CON1286489","","App Engine - Fulfiller   (NZD)","14","88.35","App Engine Fulfiller","Now Platform App Engine","CLI0202968"
"Votorantim SA","Votorantim SA","ACCT0059134","873,404.4","173,781.33","5,932,170","1,143,000","CON0648682-ADDL3","","App Engine - Fulfiller   (BRL)","635","114.62","App Engine Fulfiller","Now Platform App Engine","CLI0145606"
"Volvo Car Corp","Volvo Car Corp","ACCT0017159","15,052.8","18,433.66","256,320","288,000","BV-24812HC","","App Engine - Fulfiller   (EUR)","160","7.84","App Engine Fulfiller","Now Platform App Engine","CLI0172803"
"Volkswagen Group Retail France","Volkswagen Group Retail France","ACCT0133196","20,412","24,723.01","32,040","36,000","CON1037352","","App Engine - Fulfiller   (EUR)","20","85.05","App Engine Fulfiller","Now Platform App Engine","CLI0206332"
"Volksbank NV","Volksbank NV","ACCT0021735","96,316.8","114,963.73","506,232","568,800","CON0009113","","App Engine - Fulfiller   (EUR)","316","25.4","App Engine Fulfiller","Now Platform App Engine","CLI0209264"
