Acct Number,Account,Cacv
ACCT0018901,Schwarz IT KG,"83,661,127.48"
ACCT0007835,Veterans Affairs,"68,675,010.12"
ACCT0086453,IBM CIO,"60,542,224.92"
ACCT0005757,AT&T Services Inc,"58,706,936.63"
ACCT0177869,Headquarters Department of Army Enterprise Agreement (EA),"56,013,052.88"
ACCT0073287,Dell USA LP,"55,453,604.12"
ACCT0074006,Accenture Internal,"50,926,795.42"
ACCT0016570,Deloitte Consulting LLP,"48,702,746.09"
ACCT0090740,"Wells Fargo Bank, N.A.","42,851,673.44"
ACCT0019589,SAP SE,"33,656,225.61"
ACCT0001248,Wal-Mart Stores Inc,"31,786,794.64"
ACCT0000163,Aetna Life Insurance Co Inc,"31,146,037.20"
ACCT0008798,Microsoft Corporation,"30,819,814.53"
ACCT0166316,Fujitsu Ltd  (DP),"30,345,291.91"
ACCT0011003,Defense Counterintelligence and Security Agency DCSA,"29,702,637"
ACCT0009185,JPMorgan Chase Bank NA,"29,011,795.10"
ACCT0025307,US Postal Service,"28,564,059.79"
ACCT0146386,US Dept of State - State Enterprise IRM,"28,430,819.36"
ACCT0009184,Computer Sciences Corp,"27,945,765.89"
ACCT0005746,Infosys Limited,"27,468,384.16"
ACCT0064427,GOVL-ESA,"26,363,669.56"
ACCT0000250,KPMG-US Firm,"26,182,613.53"
ACCT0025671,FedEx Corporate Services Inc,"26,142,928.12"
ACCT0000399,Truist Bank,"24,685,390.94"
ACCT0008614,Allianz Technology SE,"24,651,819.58"
ACCT0014337,Barclays Services Ltd,"24,479,141.16"
ACCT0151517,Internal Revenue Service IRS - Direct,"22,594,917.76"
ACCT0004017,Elevance Health Inc,"22,489,983.38"
ACCT0000119,USAA,"22,307,354.11"
ACCT0008672,Citigroup Inc,"21,354,405.48"
ACCT0209105,Cognizant - Fiserv,"21,117,012.84"
ACCT0003499,Adobe Systems Inc,"19,937,993.71"
ACCT0000917,Ernst & Young LLP,"18,738,685.58"
ACCT0096936,Infosys - PepsiCo,"18,592,214"
ACCT0144407,Navy Federal Credit Union - ISD,"18,398,426.24"
ACCT0000266,United Parcel Service Oasis Supply Corporation,"18,389,603.18"
ACCT0122481,PricewaterhouseCoopers GLSC,"18,212,041.08"
ACCT0096724,US Bank National Association,"18,209,837.39"
ACCT0000231,Bank Of Montreal,"17,971,033.60"
ACCT0019042,British Telecommunications plc,"17,894,130.64"
ACCT0001724,Chevron Corp,"17,697,952.78"
ACCT0004023,Humana Inc,"17,592,576.93"
ACCT0001012,Warner Brothers Discovery,"17,522,622.92"
ACCT0090814,HSBC Global Services (UK) Limited - ITID,"17,447,430.76"
ACCT0214006,LTIMindtree Ltd USA - Disney Technology Services & Solutions,"17,387,651.54"
ACCT0000216,State Farm Mutual Insurance Co,"17,136,563.09"
ACCT0091219,AF/A1,"17,120,588.80"
ACCT0006266,Defense Logistics Agency,"16,899,814.44"
ACCT0100748,GOVW - All Spark,"16,424,537.64"
ACCT0009219,Cigna Corp,"16,282,509.95"
ACCT0194892,Cognizant - FIS,"15,901,578.72"
ACCT0146470,Air Force SAF/CN,"15,797,092.58"
ACCT0145313,BNP Paribas Procurement Tech,"15,735,198.82"
ACCT0016015,Merck & Co Inc,"15,698,900.38"
ACCT0014312,Mars Information Services Inc,"15,692,169.60"
